Img_Name,Img_Text,Img_Text_Label,Img_Label,Text_Label,,,,,,,
0.jpg,Shivam @shivamishraa Girls be named naina and then have eyes that don't work,Bully,Nonbully,Bully,,,,,,,
1.jpg,Aaloo ke paranthe is the best breakfast Omelette is the best breakfast BONK Paranthe Omelette Poha,Nonbully,Nonbully,Nonbully,,,,,,,
2.jpg,For Boyfriend For Bestfriend DESI ADUKT TROLLS,Bully,Bully,Nonbully,,,,,,,
3.jpg,You find a new YouTuber He's funny All of his videos are funny His last video was 4 years ago,Nonbully,Nonbully,Nonbully,,,,,,,
4.jpg,not_shubham14 @mentally_dank Kids at Marine Drive 21 years Single me,Bully,Nonbully,Nonbully,,,,,,,
5.jpg,what if we use 100% of our brain?,Bully,Bully,Nonbully,,,,,,,
6.jpg,If the opposite of Con is Pro Is Congress the opposite of Progress?,Bully,Nonbully,Bully,,,,,,,
7.jpg,DC   170-4(20)….RCB   171-5 (20)…royal challengers Bangalore won by 1 run ….CSK    173-3(20)…..SRH    171-3(20)..Chennai super kings won by 7 wkts…MI…...RR  171-4 (20)..Innings Break …..Ye Sala 171 hone ka adat Hogal hai..   ,Nonbully,Nonbully,Nonbully,,,,,,,
8.png,you can't be racist if there is no other race,Bully,Nonbully,Bully,,,,,,,
9.jpg,zaheer khan invented knukle bowl lord shardhul with fu@kle bowl-,Bully,Bully,Bully,,,,,,,
10.png,when your debit card decline at the abortion clinic and they have to put the baby back in,Bully,Nonbully,Nonbully,,,,,,,
11.jpg,ADDING MEDIEVAL WEAPONS TO DOGS PLAYING ON BEACH NEEDS TO BECOME A THING,Bully,Bully,Bully,,,,,,,
12.png,how you guys think you looks like but when pados wale pandit jee sees you taba renso,Bully,Nonbully,Nonbully,,,,,,,
13.jpg,you get a lifetime supply of oregano and chilli flakes on one order of dominos,Nonbully,Nonbully,Nonbully,,,,,,,
991.jpg,कोरोना Ko sath Milkar Harana hai ,Bully,Nonbully,Nonbully,,,,,,,
15.jpg,from girlfriend boyfriend to husband wife that all is want,Nonbully,Nonbully,Nonbully,,,,,,,
16.png,im long and strong and down to get the goat hump on,Bully,Bully,Nonbully,,,,,,,
17.jpg,i want you to make my legs shake,Bully,Nonbully,Nonbully,,,,,,,
18.png,when you catch your goat with another man,Bully,Nonbully,Nonbully,,,,,,,
19.jpg,my insta stories my real life SCOOPWHOOP.com,Bully,Bully,Nonbully,,,,,,,
20.png,kill the jews and muslims for being anti-white,Bully,Bully,Bully,,,,,,,
21.jpg,Bc ye ganja karde toh Bhi Chalega,Bully,Bully,Nonbully,,,,,,,
22.png,do you think a terrorist has or could infiltrate our goverment ???,Bully,Nonbully,Bully,,,,,,,
23.jpg,You cied on Arijit songs & I cried here We aren't same bro,Bully,Nonbully,Bully,,,,,,,
24.png,when your ex ask you for help,Bully,Nonbully,Nonbully,,,,,,,
25.jpg,No onw:8 year old me:,Bully,Nonbully,Nonbully,,,,,,,
26.png,american cops when they graduate police academy let the black man come forth! let murder be done upon him!,Bully,Nonbully,Bully,,,,,,,
27.jpg,Parents:what do you do in room all day?Me:,Nonbully,Nonbully,Nonbully,,,,,,,
28.png,i too was once a male trapped in a female's body but then i was born,Bully,Nonbully,Nonbully,,,,,,,
29.jpg,NOBODY : MOM MAKING A 2 YEARS OLD KID EAT FOOD grandma Uncle Mummy Aunty Grandpa,Bully,Nonbully,Nonbully,,,,,,,
30.png,him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables,Bully,Nonbully,Nonbully,,,,,,,
31.jpg,tumhe jo mene dekha tumhe jo maine jana,Bully,Nonbully,Nonbully,,,,,,,
32.png,when you consume too much trans fat,Bully,Bully,Nonbully,,,,,,,
33.jpg,Perfect licence plate doesn't exis.. BJ69420,Bully,Nonbully,Nonbully,,,,,,,
34.png,i did not divide the country the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country,Bully,Nonbully,Bully,,,,,,,
35.jpg,at what age did you discover that pen covers are meant to hold the page from flipping when studying or wriiting,Bully,Nonbully,Nonbully,,,,,,,
36.png,terrorism is just part and parcel of living in a big city. sadiq khan london mayor tokyo: over 13 million people no islamic terrorism,Bully,Nonbully,Bully,,,,,,,
37.jpg,12 year old me being ready the night before the School trip,Nonbully,Nonbully,Nonbully,,,,,,,
38.png,you don't have a cat? this is your lucky day! i'm moving in!,Bully,Nonbully,Nonbully,,,,,,,
39.jpg,people taking admission in engineering  people finding jobs after engineering,Bully,Nonbully,Nonbully,,,,,,,
40.png,how many fucking accounts do you assholes have?,Bully,Nonbully,Bully,,,,,,,
41.jpg,Kiya Zamana Aa Gaya Hai ? Baap Kahta Hai Me Tera Dost Jaisa Hoon Aur DOst Kahta Hai Me tera Baap Jaisa Hoon,Bully,Nonbully,Bully,,,,,,,
42.png,weeeeeee! back over the border you go!,Bully,Nonbully,Nonbully,,,,,,,
43.jpg,nobody:literally nobody:me with my class at computer lab changing wallpaper seeing youtube videos naughty america,Bully,Nonbully,Nonbully,,,,,,,
44.png,they can kill the messenger but they can't kill the message,Bully,Nonbully,Bully,,,,,,,
45.jpg,"Chehre pe hasi aur aankhon me Gum hai, kya Aapko bhi lagta hai 2GB din ke liye kam hai?",Bully,Nonbully,Bully,,,,,,,
46.png,white trash go to hell trump fuck donald trump,Bully,Nonbully,Bully,,,,,,,
47.jpg,My 600cc bike is still slower than this bike,Bully,Bully,Nonbully,,,,,,,
48.png,diary of a wimpy kid hard luck anne frank is one wimpy kid,Bully,Nonbully,Bully,,,,,,,
49.jpg,Me thinking ye wale chapplo me cool lgunga Le 5mint later*,Bully,Bully,Nonbully,,,,,,,
50.png,"i don't always fuck midgets but when i do, i go balls deep",Bully,Nonbully,Nonbully,,,,,,,
51.jpg,"don't get away from mind,beat your mind...#indian #india #love #instagram #photography #follow#mumbai #fashion #bollywood#instagood #like #delhi #bhfyp#photooftheday #indianwedding#likeforlikes#likeforlikes#likeforlikes#likeforlikes#likeforlikes#likeforlikes#likeforlikes#indianfood#style#model#desi#insta#beautiful#followforfollowback#kerala#tiktok#food#art #bhfyp#quarantine",Nonbully,Nonbully,Nonbully,,,,,,,
52.png,caitlin jenner showing off her new whip,Bully,Nonbully,Bully,,,,,,,
53.jpg,"Real ID Se aao,Virender sehwag!",Bully,Nonbully,Nonbully,,,,,,,
54.png,democrat jan schakowsky defends ilhan omar: 'she comes from a different culture' where they want to kill all the jews,Bully,Nonbully,Bully,,,,,,,
55.jpg,DESI ADULT TROLLS That one look from crush is enough to ruin your whole semester,Bully,Nonbully,Nonbully,,,,,,,
56.png,"my dishwasher is acting strange, can anybody help?",Bully,Nonbully,Nonbully,,,,,,,
57.jpg,Gajab garmi hai yar,Nonbully,Nonbully,Nonbully,,,,,,,
58.png,"whenever you feel stupid, remember this",Bully,Nonbully,Nonbully,,,,,,,
59.jpg,Dad accused of leaving 5 kids all under age 8 home alone so he could go to work….abc13.co/2fNv1sD…*man wih a wife who has cancer and 5 kids leaves children with a babysitterwho abandons thwm while he work hard to support them.,Bully,Nonbully,Bully,,,,,,,
60.png,real friendship is sending them a link to something terrible so you can both be traumatised at the same time i torture all my friends. it's how i show love,Bully,Nonbully,Nonbully,,,,,,,
61.jpg,My parents never said no to me they said this,Bully,Nonbully,Nonbully,,,,,,,
62.png,you're a wizard motherfucker,Bully,Nonbully,Nonbully,,,,,,,
63.jpg,no cosmetic can bring the shine that they got through their achievements They are golden women of India hima das & P.T.Usha,Nonbully,Nonbully,Nonbully,,,,,,,
772.png,"do you smell that? no me neither, start cooking",Bully,Nonbully,Bully,,,,,,,
65.jpg,every boys weakness,Bully,Bully,Nonbully,,,,,,,
66.png,when my girl pissed me off but she runs through the room in her draws me my dick,Bully,Nonbully,Bully,,,,,,,
67.jpg,kabhi yeh khaye ho?,Nonbully,Nonbully,Nonbully,,,,,,,
68.png,catch me outside how bout dat i'll catch my damn self outside,Bully,Nonbully,Nonbully,,,,,,,
69.jpg,one day,Nonbully,Nonbully,Nonbully,,,,,,,
70.png,when your grandma sees you for the first time in a whole week he's so fucking big. me#irl,Bully,Nonbully,Nonbully,,,,,,,
71.jpg,any good singer releases new song pata nahi aise situations mein. main automatically aage kaise aa jata hoor,Bully,Nonbully,Bully,,,,,,,
72.png,i hang a sock on my doorknob so my roommate knows not to come in because i'm busy fucking the other sock,Bully,Nonbully,Nonbully,,,,,,,
73.jpg,me: *invest in a stock* The stock :,Bully,Bully,Nonbully,,,,,,,
74.png,my kid threatened to hold his breath until i gave him dessert. he's now passed out on the kitchen floor i don't negotiate with terrorists,Bully,Nonbully,Nonbully,,,,,,,
75.jpg,Jitna bhi try kar lo bunny Bumrah death overs me run dega nahi SCOOPWHOOP.com,Nonbully,Nonbully,Nonbully,,,,,,,
76.png,closing time one last call for green cards you dont have to go home but you cant stay here,Bully,Nonbully,Nonbully,,,,,,,
77.jpg,clothes i have washed clothes i have SCOOPWHOOP.com,Bully,Nonbully,Nonbully,,,,,,,
78.png,want to party? yeah i'm down,Bully,Nonbully,Nonbully,,,,,,,
79.jpg,Aap muskura kyun rhe hai?Pay attention to the class..Mere baare me itna mat socho Attendance k liye aata hu Padhai k liye nhi,Bully,Nonbully,Bully,,,,,,,
80.png,"how high are you no officer, its ""hi, how are you""?",Bully,Nonbully,Bully,,,,,,,
81.jpg,#USvsIndia Do you have money? yes Idhar zeher khane paise nhi hain,Bully,Nonbully,Bully,,,,,,,
82.png,the only thing that hinders you is your own motivation,Nonbully,Nonbully,Nonbully,,,,,,,
83.jpg,sushant had no Godfather hence he was never acknowledged by the film industry -Kangana Ranaut Indians* Humare mann mein tumhare liye izzat aur badh gyi,Nonbully,Nonbully,Nonbully,,,,,,,
84.png,is your girlfriend hot like me?,Bully,Nonbully,Nonbully,,,,,,,
85.jpg,"me while masturbating:me 20 seconds later:no,i don't think i will.",Bully,Nonbully,Bully,,,,,,,
86.png,how i sleep knowing i'm going to hell in every religion,Nonbully,Nonbully,Nonbully,,,,,,,
87.jpg,माताजी गुजिया बनवाने में साथ देने के लिए मेरी तारीफ करती हई ...में तो गुजिया बनवाते चुपचाप बादाम किसमिस मावे पर हाथ साफ कर रहा था |,Bully,Nonbully,Nonbully,,,,,,,
88.png,i once dumped a cross eyed chick thought she was seeing someone else,Bully,Nonbully,Nonbully,,,,,,,
89.jpg,everyone : Why is it taking so long to devlop a COVID-19 vaccine?? Researchers and Scientists: maggi banarela hai kya idhar madarchod,Bully,Nonbully,Bully,,,,,,,
90.png,when the black kids start fighting at school,Bully,Nonbully,Nonbully,,,,,,,
91.jpg,double tap,Nonbully,Nonbully,Nonbully,,,,,,,
92.png,"it might look fucked up, but her handjobs are fucking unbelievable",Bully,Nonbully,Bully,,,,,,,
93.jpg,"When you ay ""pagal"" to your boyfriend and he replies ""Tumhari wajah se"" instead of ""Tumhare liye""",Bully,Nonbully,Bully,,,,,,,
94.png,recruiter added me on linkedin so i guess things are getting pretty serious,Nonbully,Nonbully,Nonbully,,,,,,,
95.jpg,"Queen doesn't even reply to Meghan's ""jinhe mera dil lutteya""oho",Bully,Nonbully,Nonbully,,,,,,,
96.png,"""we fly planes into their buildings now they kiss our asses!"" """,Bully,Nonbully,Nonbully,,,,,,,
97.jpg,Feeling old yet?,Nonbully,Nonbully,Nonbully,,,,,,,
98.png,every dad: *shaves beard* his own baby: i've never met this man in my life,Bully,Nonbully,Bully,,,,,,,
99.jpg,teacher *I hope you guys have understood todays topic * Me:,Bully,Nonbully,Nonbully,,,,,,,
100.png,when you just can't stop thinking about obama,Bully,Nonbully,Nonbully,,,,,,,
101.jpg,Students waking up 5 mins before online class dads who used to swim across the world 5 times to reach school Pathetic.,Bully,Nonbully,Bully,,,,,,,
102.png,when you ask for advice and they tell you to just be yourself you want me to get naked and start the revolution?,Bully,Nonbully,Nonbully,,,,,,,
103.jpg,boys relax usne 'leavemealone' laga diya hai,Bully,Nonbully,Nonbully,,,,,,,
104.png,hey mom the goats asshole is inside out. what do?,Bully,Nonbully,Nonbully,,,,,,,
105.jpg,thanos:lmao noobs My husband and his indestructible head ohh really,Bully,Nonbully,Nonbully,,,,,,,
106.png,when your wife and girlfriend dont get along,Bully,Nonbully,Nonbully,,,,,,,
107.jpg,paan bech raha hai ya vaccine?,Bully,Nonbully,Nonbully,,,,,,,
108.png,unless life also gives you water and sugar your lemonade is gonna suck,Nonbully,Nonbully,Nonbully,,,,,,,
109.jpg,Boys having sleepover before exams to study.,Bully,Nonbully,Nonbully,,,,,,,
110.png,i wanna see the most fucked up meme. lets see what you got,Bully,Nonbully,Nonbully,,,,,,,
111.jpg,"120 26 of 60 Fri, 3 Apr PBKS RCB Starts at 7:30 pm",Bully,Nonbully,Nonbully,,,,,,,
112.png,come on over i'm having a party the place is crawling with pussy,Bully,Nonbully,Nonbully,,,,,,,
113.jpg,THIS GIRL IS 21 NOW TIME FLIES,Bully,Nonbully,Bully,,,,,,,
114.png,"when you shoot up the school and somebody else gets blamed for it we stand here amid my achievement, not yours!",Bully,Nonbully,Nonbully,,,,,,,
115.jpg,WHEN YOUR FRIEND TRIES TO SHOUT YOUR NAME INFRONT OF YOUR CRUSH,Bully,Nonbully,Nonbully,,,,,,,
116.png,"my dishwasher is acting strange, can anybody help",Bully,Nonbully,Nonbully,,,,,,,
117.jpg,"INTERNATIONAL  Covid-19: US rejects India's vaccine plea, cites domestic priorities Apr 24,2021, 08:27 AM IST | Source: TOI.in main tereko DEVMANUSH samajhta tha tu toh HARAMI nikla re",Bully,Nonbully,Bully,,,,,,,
118.png,"when your homie throws a heart react on your status just fucking kiss me, man",Bully,Nonbully,Nonbully,,,,,,,
119.jpg,Me to my salary after appraisals MPF Arey uth!,Bully,Nonbully,Nonbully,,,,,,,
120.png,when you catch your goat with another man,Bully,Nonbully,Nonbully,,,,,,,
121.jpg,when your best friend gets married,Bully,Bully,Nonbully,,,,,,,
122.png,lock her up and throw away the key,Bully,Nonbully,Nonbully,,,,,,,
123.jpg,"WILLIAMSON Scored 66 of 51 last game.#FANBLAZE fanblaze insta said it!""zaroor lena aaj ka punt pick hai""Fanblaze fantasy on insta",Bully,Nonbully,Bully,,,,,,,
124.png,when you're muslim but you have oil,Bully,Nonbully,Bully,,,,,,,
125.jpg,me going to school after my parents didn't belive that i had a heart attack in my stomach,Bully,Nonbully,Bully,,,,,,,
126.png,great at making martinis terrible at stealing tambourines,Bully,Nonbully,Nonbully,,,,,,,
127.jpg,remember doing this?,Nonbully,Nonbully,Nonbully,,,,,,,
128.png,"stalin: if you invade us, you break our agreement hitler: quicksaving..",Bully,Nonbully,Bully,,,,,,,
129.jpg,Cutness overload,Nonbully,Nonbully,Nonbully,,,,,,,
130.png,"""i yelled catch ! i swear i thought she was ready """,Bully,Nonbully,Nonbully,,,,,,,
131.jpg,some MFs looks like this Still says bhai abhi chemistry ki book touch tak nhi kiya hu,Bully,Nonbully,Nonbully,,,,,,,
132.png,even i can see you're a cunt,Bully,Nonbully,Bully,,,,,,,
133.jpg,Rain in romantic for everyone ,Nonbully,Nonbully,Nonbully,,,,,,,
134.png,gmc short for give me cock,Bully,Nonbully,Bully,,,,,,,
